filename,algorithm,generation,population,stepSize,time,memory
gosperglidergun.rle,hashlife,0,0,1,0,17679608
gosperglidergun.rle,hashlife,1,39,1,8.62000000000262,18996328
gosperglidergun.rle,hashlife,2,43,1,6.190000000002328,19594544
gosperglidergun.rle,hashlife,3,48,1,2.7550000000010186,20040568
gosperglidergun.rle,hashlife,4,51,1,2.7049999999981083,20488024
gosperglidergun.rle,hashlife,5,44,1,2.8549999999959255,20969888
gosperglidergun.rle,hashlife,6,51,1,6.950000000000728,21608216
gosperglidergun.rle,hashlife,7,48,1,2.8400000000037835,22124240
gosperglidergun.rle,hashlife,8,61,1,3.0099999999983993,22691936
gosperglidergun.rle,hashlife,9,42,1,3.084999999999127,23270304
gosperglidergun.rle,hashlife,10,48,1,5.860000000000582,8875272
gosperglidergun.rle,hashlife,11,50,1,3.7700000000004366,9318576
gosperglidergun.rle,hashlife,12,54,1,3.485000000000582,9442000
gosperglidergun.rle,hashlife,13,55,1,6.854999999999563,9709768
gosperglidergun.rle,hashlife,14,56,1,3.570000000003347,9363296
gosperglidergun.rle,hashlife,15,42,1,3.6049999999995634,9529856
gosperglidergun.rle,hashlife,16,44,1,3.9199999999982538,9657224
gosperglidergun.rle,hashlife,17,47,1,3.555000000000291,9771704
gosperglidergun.rle,hashlife,18,53,1,3.7399999999979627,9906520
gosperglidergun.rle,hashlife,19,54,1,3.7599999999983993,10055936
gosperglidergun.rle,hashlife,20,54,1,4.345000000001164,10720240
gosperglidergun.rle,hashlife,21,54,1,3.2599999999983993,7118400
gosperglidergun.rle,hashlife,22,49,1,2.5899999999965075,7686720
gosperglidergun.rle,hashlife,23,60,1,2.694999999999709,8169152
gosperglidergun.rle,hashlife,24,43,1,2.610000000000582,7509496
gosperglidergun.rle,hashlife,25,50,1,2.7000000000007276,8002720
gosperglidergun.rle,hashlife,26,47,1,2.875000000003638,8500200
gosperglidergun.rle,hashlife,27,47,1,2.749999999996362,9004056
