filename,algorithm,generation,population,stepSize,time,memory
primequadrupletcalculator.rle,step-by-step,0,0,1,0,24847456
primequadrupletcalculator.rle,step-by-step,1,3541,1,36.125,31129440
primequadrupletcalculator.rle,step-by-step,2,3602,1,40.53000000002794,33521984
primequadrupletcalculator.rle,step-by-step,3,3659,1,35.34999999997672,32187200
primequadrupletcalculator.rle,step-by-step,4,3716,1,40.61499999999069,31697528
primequadrupletcalculator.rle,step-by-step,5,3748,1,35.08500000007916,29505824
primequadrupletcalculator.rle,step-by-step,6,3837,1,35.19499999994878,28815536
primequadrupletcalculator.rle,step-by-step,7,3858,1,33.72499999997672,27203720
primequadrupletcalculator.rle,step-by-step,8,3926,1,35.05999999999767,33769416
primequadrupletcalculator.rle,step-by-step,9,4041,1,36.285000000032596,33077344
primequadrupletcalculator.rle,step-by-step,10,4033,1,35.18000000005122,32740216
primequadrupletcalculator.rle,step-by-step,11,4069,1,37.51000000000931,40133488
primequadrupletcalculator.rle,step-by-step,12,4082,1,39.71999999997206,39744736
primequadrupletcalculator.rle,step-by-step,13,4150,1,38.115000000048894,39001656
primequadrupletcalculator.rle,step-by-step,14,4164,1,45.054999999993015,30847720
primequadrupletcalculator.rle,step-by-step,15,4177,1,38.804999999993015,30842280
primequadrupletcalculator.rle,step-by-step,16,4169,1,36.74499999999534,30391800
primequadrupletcalculator.rle,step-by-step,17,4166,1,37.54999999993015,30019504
primequadrupletcalculator.rle,step-by-step,18,4173,1,38.67499999998836,29531104
primequadrupletcalculator.rle,step-by-step,19,4121,1,38.54999999998836,29006360
primequadrupletcalculator.rle,step-by-step,20,4135,1,38.6699999999837,28616360
primequadrupletcalculator.rle,step-by-step,21,4094,1,40.65000000002328,28570800
primequadrupletcalculator.rle,step-by-step,22,4193,1,36.205000000074506,27656480
primequadrupletcalculator.rle,step-by-step,23,4126,1,38.535000000032596,26801016
primequadrupletcalculator.rle,step-by-step,24,4235,1,38.23999999993248,42294848
primequadrupletcalculator.rle,step-by-step,25,4171,1,36.70499999995809,41256128
